Date,Clanmate,ChestName,ChestLevel,ChestType,ChestPoints
2025-09-10,Huzar,Elven Citadel Chest,25,Citadel,0
2025-09-10,Vakums,Elven Citadel Chest,30,Citadel,0
2025-09-10,Huzar,Elven Citadel Chest,25,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,15,Citadel,0
2025-09-10,Huzar,Elven Citadel Chest,20,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,25,Citadel,0
2025-09-10,Vakums,Elven Citadel Chest,30,Citadel,0
2025-09-10,Huzar,Elven Citadel Chest,25,Citadel,0
2025-09-10,Vakums,Elven Citadel Chest,30,Citadel,0
2025-09-10,Huzar,Elven Citadel Chest,25,Citadel,0
2025-09-10,Huzar,Elven Citadel Chest,25,Citadel,0
2025-09-10,Gardashura,Orc Chest,15,Common Crypt,0
2025-09-10,Gardashura,Bone Chest,20,Common Crypt,0
2025-09-10,Gardashura,Cobra Chest,25,Common Crypt,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,Fray,Forgotten Chest,20,Common Crypt,0
2025-09-10,Adoran,Elven Citadel Chest,25,Citadel,0
2025-09-10,Adoran,Elven Citadel Chest,25,Citadel,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,Adoran,Elven Citadel Chest,25,Citadel,0
2025-09-10,Huzar,Elven Citadel Chest,25,Citadel,0
2025-09-10,Adoran,Elven Citadel Chest,25,Citadel,0
2025-09-10,Huzar,Elven Citadel Chest,25,Citadel,0
2025-09-10,Vakums,Elven Citadel Chest,30,Citadel,0
2025-09-10,Fray,Rare Dragon Chest,15,rare Crypt,0
2025-09-10,Zuzilkree,Barbarian Chest,15,Common Crypt,0
2025-09-10,Fray,Rare Dragon Chest,15,rare Crypt,0
2025-09-10,YurasiK,Gnome Workshop Chest,20,Common Crypt,0
2025-09-10,Zuzilkree,Stone Chest,15,Common Crypt,0
2025-09-10,Fray,Stone Chest,20,Common Crypt,0
2025-09-10,Zuzilkree,Stone Chest,15,Common Crypt,0
2025-09-10,YurasiK,Elegant Chest,15,Common Crypt,0
2025-09-10,Serdriilas,Orc Chest,20,Common Crypt,0
2025-09-10,Serdriilas,Orc Chest,20,Common Crypt,0
2025-09-10,Mikoikt,Mayan Chest,20,Common Crypt,0
2025-09-10,Serdriilas,Orc Chest,20,Common Crypt,0
2025-09-10,YurasiK,Infernal Chest,15,Common Crypt,0
2025-09-10,Cerberus,Forgotten Chest,20,Common Crypt,0
2025-09-10,Rover,Infernal Chest,20,Common Crypt,0
2025-09-10,Cerberus,Gladiator's Chest,0,Arena,0
2025-09-10,Cerberus,Titansteel Chest,20,epic Crypt,0
2025-09-10,Mikoikt,Forgotten Chest,20,Common Crypt,0
2025-09-10,Rover,Forgotten Chest,20,Common Crypt,0
2025-09-10,Cerberus,Barbarian Chest,20,Common Crypt,0
2025-09-10,Hulsa,Fire Chest,20,Common Crypt,0
2025-09-10,Cerberus,Rare Dragon Chest,20,rare Crypt,0
2025-09-10,Hulsa,sand Chest,20,Common Crypt,0
2025-09-10,DerKleine73,Infernal Chest,15,Common Crypt,0
2025-09-10,Rover,Fire Chest,20,Common Crypt,0
2025-09-10,Hulsa,Bone Chest,20,Common Crypt,0
2025-09-10,DerKleine73,Gnome Workshop Chest,10,Common Crypt,0
2025-09-10,DerKleine73,Orc Chest,15,Common Crypt,0
2025-09-10,Vakums,Bone Chest,25,Common Crypt,0
2025-09-10,Vakums,Cobra Chest,20,Common Crypt,0
2025-09-10,Vakums,Mayan Chest,20,Common Crypt,0
2025-09-10,DerKleine73,Orc Chest,10,Common Crypt,0
2025-09-10,DerKleine73,Gladiator's Chest,0,Arena,0
2025-09-10,DerKleine73,Cobra Chest,10,Common Crypt,0
2025-09-10,Fendis,Barbarian Chest,15,Common Crypt,0
2025-09-10,Fendis,Barbarian Chest,15,Common Crypt,0
2025-09-10,Fendis,Stone Chest,15,Common Crypt,0
2025-09-10,Fendis,Priest's Chest,15,epic Crypt,0
2025-09-10,Fendis,Infernal Chest,15,Common Crypt,0
2025-09-10,Fendis,Barbarian Chest,15,Common Crypt,0
2025-09-10,Kantrius,Bone Chest,20,Common Crypt,0
2025-09-10,Kantrius,Cobra Chest,20,Common Crypt,0
2025-09-10,Kantrius,Mayan Chest,20,Common Crypt,0
2025-09-10,Taugal,Infernal Chest,10,Common Crypt,0
2025-09-10,Taugal,Barbarian Chest,10,Common Crypt,0
2025-09-10,Taugal,Stone Chest,10,Common Crypt,0
2025-09-10,Kantrius,Gladiator's Chest,0,Arena,0
2025-09-10,Nightfang,Orc Chest,25,Common Crypt,0
2025-09-10,Nightfang,Gnome Workshop Chest,25,Common Crypt,0
2025-09-10,Nightfang,Stone Chest,25,Common Crypt,0
2025-09-10,Nightfang,Cobalt Chest,30,epic Crypt,0
2025-09-10,Kantrius,Harpy Chest,20,epic Crypt,0
2025-09-10,WildMG,Elegant Chest,20,Common Crypt,0
2025-09-10,WildMG,Mayan Chest,25,Common Crypt,0
2025-09-10,WildMG,Forgotten Chest,25,Common Crypt,0
2025-09-10,WildMG,Scorpion Chest,20,epic Crypt,0
2025-09-10,Angelina 2,Cobra Chest,25,Common Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,25,rare Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,25,rare Crypt,0
2025-09-10,Petrov val,Elegant Chest,20,Common Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,25,rare Crypt,0
2025-09-10,Petrov val,Orc Chest,20,Common Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,25,rare Crypt,0
2025-09-10,Eragon,Barbarian Chest,15,Common Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,25,rare Crypt,0
2025-09-10,Petrov val,Stone Chest,20,Common Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,25,rare Crypt,0
2025-09-10,Eragon,Elegant Chest,10,Common Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,25,rare Crypt,0
2025-09-10,Eragon,Cobra Chest,25,Common Crypt,0
2025-09-10,rami,Scorpion Chest,15,epic Crypt,0
2025-09-10,Finginad,Cobra Chest,10,Common Crypt,0
2025-09-10,rami,Cobra Chest,10,Common Crypt,0
2025-09-10,Petrov val,Barbarian Chest,20,epic Crypt,0
2025-09-10,rami,Scorpion Chest,15,epic Crypt,0
2025-09-10,rami,Barbarian Chest,10,Common Crypt,0
2025-09-10,rami,Gnome Workshop Chest,20,Common Crypt,0
2025-09-10,Finginad,Elegant Chest,15,Common Crypt,0
2025-09-10,rami,Bone Chest,20,Common Crypt,0
2025-09-10,rami,Sand Chest,10,Common Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,25,rare Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,15,rare Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,15,rare Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,15,rare Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,15,rare Crypt,0
2025-09-10,Angelina 2,Rare Dragon Chest,15,rare Crypt,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Rifur,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,SBzBy II,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,SBzBy II,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,SBzBy II,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,SBzBy II,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,DerKleine73,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,LosBoLos,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,LosBoLos,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,LosBoLos,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,LosBoLos,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,rami,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Kantrius,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Kantrius,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Kantrius,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Kantrius,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Kantrius,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Romazan,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Romazan,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Romazan,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Romazan,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Vakums,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Vakums,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Vakums,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Vakums,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fray,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Fendis,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Mikoikt,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Mikoikt,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Mikoikt,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Mikoikt,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Elgi,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Elgi,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Elgi,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Elgi,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Germano1,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Germano1,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Germano1,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Germano1,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Miss Marple,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Miss Marple,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Miss Marple,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Miss Marple,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Miss Marple,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Angelina 2,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Angelina 2,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Angelina 2,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Angelina 2,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,LosBoLos,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Germano1,Fire Chest,15,Common Crypt,0
2025-09-10,Serdriel,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Serdriel,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Serdriel,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Serdriel,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Serdriel,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Germano1,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Upasara Wulung,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Romazan,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Mikoikt,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,SBzBy II,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Angelina 2,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Vakums,Quick March Chest,0,Rise of the Ancients event,0
2025-09-10,Petrov val,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Petrov val,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Petrov val,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Petrov val,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Germano1,Barbarian Chest,15,Common Crypt,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Hulsa,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Kobani,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Kobani,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Kobani,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Kobani,Ancients' Chest,0,Rise of the Ancients event,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
2025-09-10,Momath,Golden Guardian Epic Chest,0,Epic Ancient squad,0
